"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 18 11:57:46 GMT 2022","Sun Sep 18 11:57:48 GMT 2022","2442","chromium","","Redmine.org","","","should go to register page",""
"passed","Sun Sep 18 11:57:51 GMT 2022","Sun Sep 18 11:57:54 GMT 2022","3938","chromium","","Redmine.org","","","should registration with empty credentials",""
"passed","Sun Sep 18 11:57:48 GMT 2022","Sun Sep 18 11:57:51 GMT 2022","2383","chromium","","Redmine.org","","","should verify menu on main page",""
"passed","Sun Sep 18 11:58:38 GMT 2022","Sun Sep 18 11:58:41 GMT 2022","2809","Google Chrome","","Redmine.org","","","title should be ""Overview - Redmine""",""
"passed","Sun Sep 18 11:58:41 GMT 2022","Sun Sep 18 11:58:44 GMT 2022","3237","Google Chrome","","Redmine.org","","","should go to register page",""
"passed","Sun Sep 18 11:58:15 GMT 2022","Sun Sep 18 11:58:18 GMT 2022","2849","firefox","","Redmine.org","","","should verify menu on main page",""
"passed","Sun Sep 18 11:58:06 GMT 2022","Sun Sep 18 11:58:11 GMT 2022","4456","firefox","","Redmine.org","","","title should be ""Overview - Redmine""",""
"passed","Sun Sep 18 11:58:44 GMT 2022","Sun Sep 18 11:58:46 GMT 2022","2271","Google Chrome","","Redmine.org","","","should verify menu on main page",""
"passed","Sun Sep 18 11:57:43 GMT 2022","Sun Sep 18 11:57:46 GMT 2022","2814","chromium","","Redmine.org","","","title should be ""Overview - Redmine""",""
"passed","Sun Sep 18 11:58:23 GMT 2022","Sun Sep 18 11:58:36 GMT 2022","12619","firefox","","Redmine.org","","","should registration with credentials",""
"passed","Sun Sep 18 11:58:50 GMT 2022","Sun Sep 18 11:59:01 GMT 2022","10747","Google Chrome","","Redmine.org","","","should registration with credentials",""
"passed","Sun Sep 18 11:57:54 GMT 2022","Sun Sep 18 11:58:05 GMT 2022","10574","chromium","","Redmine.org","","","should registration with credentials",""
"passed","Sun Sep 18 11:58:18 GMT 2022","Sun Sep 18 11:58:23 GMT 2022","5243","firefox","","Redmine.org","","","should registration with empty credentials",""
"passed","Sun Sep 18 11:58:11 GMT 2022","Sun Sep 18 11:58:15 GMT 2022","4369","firefox","","Redmine.org","","","should go to register page",""
"passed","Sun Sep 18 11:58:46 GMT 2022","Sun Sep 18 11:58:50 GMT 2022","3863","Google Chrome","","Redmine.org","","","should registration with empty credentials",""
